# RA = 02 42 40.70 (40.669583)
# Dec = -00 00 47.00 (-0.013056)
# Redshift = 0.0
# nH = 2.92E20 cm^-2 
# SWBAT70M  (14-195 keV) (id = 30)
#  energy (GeV)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
#  energy (GeV)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.4599E-12     0.0000E00    8.7591E-12   4.3768E-13    55055.5    55354.5
# ERCSC217 (id = 5)
#  energy (GeV)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
8.9745E-13     0.0000E00    1.5628E-12   1.4207E-13    55055.5    55354.5
# AT20GCAT ( flux 20 GHz) (id = 4)
#  energy (GeV)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
8.2714E-14     0.0000E00    9.4800E-14   3.4000E-15 0.0   0.0
# 2MASS (id = 3)
#  energy (GeV)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.0046E-09     0.0000E00    3.2880E-10   3.3053E-11 0.0   0.0
7.4649E-10     0.0000E00    4.0998E-10   4.8333E-11 0.0   0.0
5.7486E-10     0.0000E00    1.1453E-09   2.5598E-11 0.0   0.0
1.0046E-09     0.0000E00    1.0868E-10   1.8772E-11 0.0   0.0
7.4649E-10     0.0000E00    6.4977E-10   0.0000E00 0.0   0.0
5.7486E-10     0.0000E00    5.2785E-10   0.0000E00 0.0   0.0
1.0046E-09     0.0000E00    7.0621E-11   1.5784E-12 0.0   0.0
7.4649E-10     0.0000E00    5.8662E-10   0.0000E00 0.0   0.0
5.7486E-10     0.0000E00    4.7655E-10   0.0000E00 0.0   0.0
1.0046E-09     0.0000E00    4.7658E-11   1.0652E-12 0.0   0.0
7.4649E-10     0.0000E00    4.2341E-10   0.0000E00 0.0   0.0
5.7486E-10     0.0000E00    5.0177E-10   0.0000E00 0.0   0.0
1.0046E-09     0.0000E00    7.4222E-11   1.5891E-12 0.0   0.0
7.4649E-10     0.0000E00    5.5816E-10   0.0000E00 0.0   0.0
5.7486E-10     0.0000E00    7.1665E-10   0.0000E00 0.0   0.0
1.0046E-09     0.0000E00    5.5072E-11   3.6676E-12 0.0   0.0
7.4649E-10     0.0000E00    3.0928E-10   0.0000E00 0.0   0.0
5.7486E-10     0.0000E00    2.5877E-10   0.0000E00 0.0   0.0
1.0046E-09     0.0000E00    1.8903E-10   0.0000E00 0.0   0.0
7.4649E-10     0.0000E00    2.2058E-11   2.6686E-12 0.0   0.0
5.7486E-10     0.0000E00    1.4565E-10   0.0000E00 0.0   0.0
# VLSSr (id = 2)
#  energy (GeV)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
3.0604E-16     0.0000E00    1.8067E-14   9.9900E-17    51910.5    54465.5
# NVSS (id = 1)
#  energy (GeV)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
5.7900E-15     0.0000E00    6.7887E-14   2.3855E-15    49231.5    50508.5
